gene
"B2M"
"S100A9"
"HLA_C"
"FCGR3B"
"NAMPT"
"LRRK2"
"CTSS"
"SMCHD1"
"HLA_A"
"SOD2"
"GBP5"
"ACSL1"
"VCAN"
"MNDA"
"FCGR2A"
"SRGN"
"FPR1"
"FCN1"
"FGL2"
"MXD1"
"STAT1"
"PARP14"
"CYBB"
"H3_3B"
"NIBAN1"
"RNF149"
"VNN2"
"SELL"
"IRF1"
"NABP1"
"GBP2"
"XPO6"
"USP15"
"FBXL5"
"PLXNC1"
"TLR4"
"AL034397.3"
"TRANK1"
"SDCBP"
"GCA"
"APOL6"
"CD46"
"DDX60L"
"LITAF"
"FCGR3A"
"MAPK14"
"TLR2"
"RGS2"
"LYN"
"KCNJ15"
"DMXL2"
"TUT7"
"SAMD9L"
"MME"
"TLR1"
"HCK"
"PTPRJ"
"CXCR1"
"STEAP4"
"IFITM2"
"SAT1"
"WDFY3"
"CHST15"
"DPYD"
"GBP1"
"TAP1"
"PIK3AP1"
"SLC2A3"
"CASP4"
"MCTP2"
"TRIM25"
"AQP9"
"MGAM"
"S100A8"
"IGSF6"
"VASP"
"SLC16A3"
"DUSP1"
"TNFSF10"
"CPD"
"XRN1"
"PYGL"
"MEGF9"
"ALOX5"
"GNS"
"WSB1"
"LIMK2"
"CAPZA1"
"PARP9"
"CLEC7A"
"ALPK1"
"FPR2"
"MSRB1"
"TNFRSF10C"
"CREB5"
"FAM126B"
"PGD"
"TYROBP"
"IFI16"
"TLR8"
"JAK2"
"PPT1"
"JUNB"
"SHISA5"
"CD14"
"LTA4H"
"KCNJ2"
"FFAR2"
"FRAT2"
"EIF4E3"
"PLBD1"
"FAM8A1"
"HK3"
"CASP1"
"BAZ1A"
"TUBA1A"
"CR1"
"HSPA6"
"APOBEC3A"
"PSMB9"
"RAB31"
"DAPP1"
"TLR6"
"GK"
"IFITM1"
"CD55"
"BCL6"
"IFNGR1"
"IL4R"
"AFF1"
"RALGAPA2"
"IFNAR1"
"PPP1R3B"
"TECPR2"
"STX3"
"IRAK3"
"KIAA0040"
"HLA_DRB1"
"APOL2"
