"LIMS_ID","CNIH4","CT_mean"
"HOA7814A220",9.28372887377547,40
"HOA7814A225",9.90873701825122,40
"HOA7814A234",9.43655195375764,40
"HOA7814A237",9.18999843540257,40
"HOA7814A242",9.04284051526577,40
"HOA7814A243",9.3989068978307,40
"HOA7814A248",9.86425633376124,40
"HOA7814A249",9.38142853749647,40
"HOA7814A251",9.10916335322337,40
"HOA7818A222",10.5595333591008,40
"HOA7814A254",10.7398196969518,40
"HOA7814A256",9.71127368039142,40
"HOA7814A259",9.67235136200005,40
"HOA7814A261",9.7111502149398,40
"HOA7818A18",9.49524386600497,40
"HOA7818A21",10.2570778700818,40
"HOA7818A24",8.82141769238859,40
"HOA7818A240",10.3571204454416,40
"HOA7818A29",9.63396130722274,40
"HOA7814A267",9.91968866654663,40
"HOA7818A241",9.12264740024892,40
"HOA7818A34",10.0952296353299,40
"HOA7818A37",10.0773741657831,40
"HOA7814A272",11.4637822877697,40
"HOA7814A273",9.91777642042814,40
"HOA7818A228",9.66179232081373,40
"HOA7814A277",10.0569190916037,40
"HOA7818A231",10.4141850627514,40
"HOA7814A279",10.1586509297913,40
"HOA7814A282",9.07136973205978,40
